// INTEL CONFIDENTIAL
//
// Copyright 2025 Intel Corporation.
//
// This software and the related documents are Intel copyrighted materials, and
// your use of them is governed by the express license under which they were
// provided to you ("License"). Unless the License provides otherwise, you may
// not use, modify, copy, publish, distribute, disclose or transmit this software
// or the related documents without Intel's prior written permission.
//
// This software and the related documents are provided as is, with no express or
// implied warranties, other than those that are expressly stated in the License.
//,,,,,,,,,
// File: SHAVEIntrinsics.csv,,,,,,,,,
// Description: This CSV file contains the template from which the SHAVE ISA,,,,,,,,,
// intrinsics or built-ins are synthesised.,,,,,,,,,
,,,,,,,,,
// Intrinsics Table,,,,,,,,,
//FU,OPcode,Suffix,TDSuffix,RetType,#Args,ArgTypes,OtherInfo,Overload,CPUType
// ,,,,,,,,,
// FIELDS:,,,,,,,,,
//   0. Functional unit the instruction belongs to,,,,,,,,,
//   1. Name of the instruction,,,,,,,,,
//   2. Instruction suffix indicating type of instruction,,,,,,,,,
//   3. Optional additional suffix for TD name,,,,,,,,,
//   4. The return type of the instruction,,,,,,,,,
//   5. The number of arguments the instruction takes,,,,,,,,,
//   6. The types of each argument; seperated by '.',,,,,,,,,
//   7. Other,,,,,,,,,
//   8. Overload discriminator - used when the 'Other' column contains 'overload',,,,,,,,,
//   9. CPU type,,,,,,,,,
CMU,EXPAND,x32,,Rv16f32,2,Rv16f32.Ri32,overload,float16,HasVRF512
CMU,NDEXPAND,x32,,Rv16f32,2,Rv16f32.Ri32,overload,float16,HasVRF512
,,,,,,,,,
//,CMU.PERM,,,,,,,,
CMU,PERM,x32,,Rv16i32,2,Rv16i32.Rv16u32,overload,int16,HasPERM
CMU,PERM,x16,,Rv32i16,2,Rv32i16.Rv32u16,overload,short32,HasPERM
CMU,PERM,x8,,Rv64i8,2,Rv64i8.Rv64u8,overload,char64,HasPERM
CMU,PERMB,x32,,Rv16i32,3,Rv16i32.Rv16i32.Rv16u32,overload,int16,HasPERM
CMU,PERMB,x16,,Rv32i16,3,Rv32i16.Rv32i16.Rv32u16,overload,short32,HasPERM
CMU,PERMB,x8,,Rv64i8,3,Rv64i8.Rv64i8.Rv64u8,overload,char64,HasPERM
,,,,,,,,,
CMU,PERM,x32,,Rv16u32,2,Rv16u32.Rv16u32,overload,uint16,HasPERM
CMU,PERM,x16,,Rv32u16,2,Rv32u16.Rv32u16,overload,ushort32,HasPERM
CMU,PERM,x8,,Rv64u8,2,Rv64u8.Rv64u8,overload,uchar64,HasPERM
CMU,PERMB,x32,,Rv16u32,3,Rv16u32.Rv16u32.Rv16u32,overload,uint16,HasPERM
CMU,PERMB,x16,,Rv32u16,3,Rv32u16.Rv32u16.Rv32u16,overload,ushort32,HasPERM
CMU,PERMB,x8,,Rv64u8,3,Rv64u8.Rv64u8.Rv64u8,overload,uchar64,HasPERM
,,,,,,,,,
CMU,PERM,x32,,Rv16f32,2,Rv16f32.Rv16u32,overload,float16,HasPERM
CMU,PERM,x16,,Rv32f16,2,Rv32f16.Rv32u16,overload,half32,HasPERM
CMU,PERMB,x32,,Rv16f32,3,Rv16f32.Rv16f32.Rv16u32,overload,float16,HasPERM
CMU,PERMB,x16,,Rv32f16,3,Rv32f16.Rv32f16.Rv32u16,overload,half32,HasPERM
,,,,,,,,,
//,,,,,,,,,
//,,,,,,,,,
//,=========================================,,,,,,,,
//,1.6.5 IAU Instructions,,,,,,,,
//,=========================================,,,,,,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.4 IAU.ADDSI,,,,,,,,
//,,32-bit signed integer addition with saturation,,,,,,,
IAU,ADDSI,,,Ri32,2,Ri32.Ri32,,,
IAU,ADDSI,,,Ri32,2,Ri32.#u8,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.5 IAU.ADDSU,,,,,,,,
//,,32-bit unsigned integer addition with saturation,,,,,,,
IAU,ADDSU,,,Ru32,2,Ru32.Ru32,,,
IAU,ADDSU,,,Ru32,2,Ru32.#u8,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.6 IAU.ALIGN,,,,,,,,
//,,Align to byte boundary,,,,,,,
IAU,ALIGN,,,Ri32,3,Ri32.Ri32.#u8,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.7 IAU.AND,,,,,,,,
//,,Bitwise AND,,,,,,,
IAU,AND,,32,Ru32,2,Ru32.Ru32,notype,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.9 IAU.BSF,,,,,,,,
//,,Find bit position of least significant bit set to 1/0,,,,,,,
IAU,BSF,32,,Ru32,1,Ru32,notype,,
IAU,BSFINV,32,,Ru32,1,Ru32,notype,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.10 IAU.BSR,,,,,,,,
//,,Find bit position of most significant bit set to 1/0,,,,,,,
IAU,BSR,32,,Ru32,1,Ru32,notype,,
IAU,BSRINV,32,,Ru32,1,Ru32,notype,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.13 IAU.FEXTI,,,,,,,,
//,,Signed integer field extract with immediate specifiers,,,,,,,
IAU,FEXTI,,,Ri32,3,Ri32.#u5.#u4,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.14 IAU.FEXTJI,,,,,,,,
//,,Signed integer field extract with indirect specifiers,,,,,,,
IAU,FEXTJI,,,Ri32,2,Ri32.Ru32,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.15 IAU.FEXTJU,,,,,,,,
//,,Unsigned integer field extract with indirect specifiers,,,,,,,
IAU,FEXTJU,,,Ru32,2,Ru32.Ru32,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.16 IAU.FEXTU,,,,,,,,
//,,Unsigned integer field extract with immediate specifiers,,,,,,,
IAU,FEXTU,,,Ru32,3,Ru32.#u5.#u4,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.17 IAU.FINS,,,,,,,,
//,,Field insert with immediate specifiers,,,,,,,
IAU,FINS,,,Ru32,4,Ru32.Ru32.#u5.#u4,srcdst,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.18 IAU.FINSJ,,,,,,,,
//,,Field insert with indirect specifiers,,,,,,,
IAU,FINSJ,,,Ru32,3,Ru32.Ru32.Ru32,srcdst,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.27 IAU.MULSI,,,,,,,,
//,,32-bit signed integer multiplication with saturation,,,,,,,
IAU,MULSI,,,Ri32,2,Ri32.Ri32,,,
IAU,MULSI,,,Ri32,2,Ri32.#i8,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.28 IAU.MULSU,,,,,,,,
//,,32-bit unsigned integer multiplication with saturation,,,,,,,
IAU,MULSU,,,Ru32,2,Ru32.Ru32,,,
IAU,MULSU,,,Ru32,2,Ru32.#u8,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.30 IAU.ONES,,,,,,,,
//,,Count number of bits set to 1/0,,,,,,,
IAU,ONES,,32,Ri32,1,Ri32,,,
IAU,ZEROS,,32,Ri32,1,Ri32,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.33 IAU.RVRS,,,,,,,,
//,,Reverse bit order,,,,,,,
IAU,RVRS,,,Ri32,1,Ri32,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.38 IAU.SUBSI,,,,,,,,
//,,32-bit signed integer subtraction with saturation,,,,,,,
IAU,SUBSI,,,Ri32,2,Ri32.Ri32,,,
IAU,SUBSI,,,Ri32,2,Ri32.#u8,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.5.39 IAU.SUBSU,,,,,,,,
//,,32-bit unsigned integer subtraction with saturation,,,,,,,
IAU,SUBSU,,,Ru32,2,Ru32.Ru32,,,
IAU,SUBSU,,,Ru32,2,Ru32.#u8,,,
,,,,,,,,,
//,,,,,,,,,
//,,,,,,,,,
//,=========================================,,,,,,,,
//,1.6.6 LSU Instructions,,,,,,,,
//,=========================================,,,,,,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.6.2 LSU.LD,,,,,,,,
//,,Register indirect load of specified type from memory.,,,,,,,
LSU,LD128,u8_f16,Raw,Rv8f16,1,PCv8u8,,,HasVRF128
LSU,LD128,u8f_f16,Raw,Rv8f16,1,PCv8u8,,,HasVRF128
LSU,LD128,b16_f32,Raw,Rv4f32,1,PCv4f16,,,HasVRF128.HasB16Float
LSU,LD32,b16_f32,Raw,Rf32,1,PCf16,,,HasB16Float
LSU,ST64,f32_b16,Raw,,2,Rv4f32.Pv4f16,sideeffects,,HasVRF128.HasB16Float
LSU,ST16,f32_b16,Raw,,2,Rf32.Pf16,sideeffects,,HasB16Float
,,,,,,,,,
//,,,,,,,,,
//,,"Register load - these are ""exclusive"" loads that do not permit a simultaneous load on the other LSU in the same cycle",,,,,,,
